2114	KING228
2115	KING147
2116	2116
2117	KING147
2121	KING229
2122	2122
2123	2123
2124	2124
2125	2125
2128	2128
2129	KING157
2130	KING230
2131	KING231
2132	2132
2133	2133
2137	KING232
2139	KING233
2140	2140
2141	2141
2142	2142
2144	2144
2146	2146
2150	2150
2151	KING129
2152	2152
2154	2154
2156	2156
2157	2157
2159	2159
2160	2160
2162	KING234
2163	2163
2164	2164
2166	2166
2168	2168
2179	KING235
2180	2180
2181	2181
2182	2182
2184	KING236
2185	2185
2188	KING237
2189	KING10
2190	KING155
2191	2191
2192	2192
2196	KING169
2197	2197
2207	2207
2208	2208
2210	KING238
2211	2211
2213	2213
2214	2214
2216	2216
2219	KING188
2222	KING176
2223	2223
2225	KING98
2226	2226
2233	2233
2234	2234
2235	2235
2236	KING239
2237	2237
2239	2239
2242	KING168
2243	2243
2245	KING240
2246	2246
2247	2247
2248	2248
2250	2250
2255	2255
2260	2260
2264	KING138
2265	KING148
2266	2266
2267	KING153
2269	KING199
2278	KING104
2280	KING194
2282	2282
2283	KING241
2284	2284
2285	KING242
2288	2288
2289	2289
2290	KING243
2293	2293
2299	2299
2300	2300
2304	KING244
2305	2305
2306	KING245
2307	KING244
2308	2308
2309	2309
2315	2315
2316	2316
2317	2317
2319	KING246
2323	KING247
2324	2324
2325	KING248
2328	2328
2329	KING48
2330	2330
2331	2331
2333	2333
2338	KING96
2343	2343
2345	KING199
2347	KING249
2348	2348
2350	KING170
2351	KING170
2352	KING250
2355	KING251
2356	2356
2364	KING77
2365	KING77
2369	2369
2372	2372
2373	2373
2377	KING205
2378	2378
2391	KING196
2392	2392
2396	KING205
2397	2397
2405	KING252
2407	KING10
2410	2410
2412	KING189
2413	KING253
2417	KING254
2426	2426
2427	2427
2428	KING255
2430	KING256
2432	KING99
2435	KING257
2438	2438
2440	KING99
2447	2447
2450	KING173
2455	2455
2457	2457
2458	KING258
2459	KING259
2460	2460
2465	2465
2466	2466
2467	2467
2468	2468
2469	2469
2472	KING137
2474	2474
2475	2475
2476	2476
2478	2478
2479	2479
2484	KING164
2489	KING203
2490	KING144
2491	KING260
2492	2492
2494	2494
2498	2498
2505	2505
2507	2507
2508	2508
2509	2509
2510	2510
2515	KING65
2520	KING219
2522	2522
2530	KING48
2533	2533
2535	2535
2537	2537
2538	KING261
2540	2540
2544	2544
2546	2546
2553	2553
2557	2557
2558	2558
2559	2559
2560	2560
2563	2563
2564	2564
2567	KING181
2569	2569
2570	KING197
2572	KING175
2584	KING262
2585	2585
2587	2587
2589	KING187
2590	KING263
2594	2594
2596	KING94
2597	2597
2598	2598
2599	KING264
2603	KING265
2605	KING127
2609	KING266
2612	2612
2614	2614
2615	KING267
2618	2618
2620	KING73
2623	2623
2624	2624
2627	KING218
2628	2628
2629	KING268
2632	2632
2647	2647
2648	2648
2649	2649
2661	KING269
2662	2662
2663	KING270
2664	2664
2678	KING271
2680	2680
2682	2682
2683	KING239
2684	2684
2685	KING272
2686	KING233
2691	2691
2692	2692
2695	KING119
2697	2697
2698	KING273
2705	KING274
2708	2708
2711	2711
2724	2724
2727	2727
2728	2728
2731	2731
2738	2738
2739	2739
2740	KING146
2741	KING185
2743	2743
2747	2747
2749	2749
2752	2752
2753	2753
2755	2755
2758	2758
2760	2760
2764	KING66
2775	2775
2778	KING172
2779	2779
2783	2783
2784	KING20
2785	2785
2793	KING232
2795	KING151
2800	KING275
2804	KING276
2806	KING277
2807	2807
2808	2808
2809	KING112
2810	2810
2811	KING247
2813	2813
2822	2822
2827	2827
2832	KING278
2833	2833
2834	2834
2835	2835
2837	2837
2840	2840
2844	2844
2855	2855
2858	2858
2859	2859
2862	2862
2864	2864
2865	KING227
2869	2869
2870	2870
2871	KING135
2872	KING135
2876	2876
2877	2877
2879	KING279
2881	KING280
2886	KING10
2887	2887
2888	2888
2892	2892
2893	KING143
2898	KING88
2899	KING281
2902	KING230
2904	KING282
2907	2907
2908	KING235
2915	2915
2916	2916
2917	KING283
2919	KING284
2927	2927
2928	KING197
2929	KING229
2930	KING285
2931	2931
2934	KING286
2936	2936
2937	KING287
2939	2939
2940	2940
2941	KING171
2942	KING288
2945	2945
2952	KING234
2955	2955
2957	2957
2958	KING289
2961	2961
2962	KING290
2963	KING226
2964	2964
2965	KING291
2968	KING286
2969	2969
2972	KING204
2973	2973
2974	2974
2975	2975
2980	2980
2987	2987
2988	2988
2994	2994
2995	KING257
2997	2997
2998	2998
3000	3000
3001	3001
3016	3016
3017	3017
3018	KING292
3020	KING210
3021	3021
3022	3022
3026	KING238
3031	3031
3033	KING193
3036	3036
3037	KING201
3038	3038
3051	3051
3052	KING182
3055	3055
3057	3057
3058	KING293
3072	3072
3081	KING258
3082	3082
3083	3083
3086	3086
3088	3088
3094	KING259
3096	3096
3101	3101
3103	3103
3108	3108
3123	3123
3125	KING294
3126	KING295
3127	3127
3128	3128
3129	3129
3130	3130
3141	3141
3142	KING296
3143	3143
3144	3144
3146	KING297
3147	KING144
3148	3148
3149	KING118
3150	3150
3156	KING298
3160	3160
3161	3161
3162	3162
3163	3163
3169	3169
3171	KING236
3188	KING154
3190	3190
3192	KING268
3193	KING217
3194	3194
3207	3207
3210	3210
3211	3211
3214	3214
3216	3216
3218	3218
3219	KING299
3220	KING300
3222	3222
3233	KING104
3236	KING301
3237	3237
3238	KING302
3239	3239
3241	3241
3243	3243
3244	3244
3245	KING303
3262	3262
3263	3263
3264	KING86
3265	KING208
3266	3266
3267	3267
3269	3269
3271	3271
3272	3272
3282	3282
3284	3284
3289	KING211
3290	KING304
3294	3294
3295	3295
3303	KING206
3305	KING100
3307	KING305
3308	3308
3309	3309
3318	3318
3320	3320
3324	KING306
3326	3326
3340	3340
3341	KING307
3342	3342
3344	3344
3346	KING308
3349	KING309
3350	KING285
3354	3354
3355	3355
3361	KING226
3363	KING191
3364	KING248
3365	KING160
3374	KING310
3376	KING140
3377	KING311
3378	3378
3380	3380
3388	KING223
3396	KING77
3397	3397
3398	KING274
3404	KING77
3407	3407
3412	KING249
3413	KING249
3416	3416
3417	KING109
3418	KING145
3422	3422
3423	3423
3425	3425
3431	KING312
3448	3448
3449	3449
3450	3450
3456	KING264
3465	KING313
3466	KING97
3475	KING314
3477	KING215
3478	3478
3480	KING237
3482	3482
3483	3483
3487	KING315
3492	KING255
3493	3493
3496	3496
3507	3507
3508	3508
3509	KING316
3512	3512
3513	3513
3516	KING317
3517	KING318
3527	3527
3528	3528
3529	KING150
3532	KING271
3533	KING280
3534	3534
3545	KING225
3546	KING265
3548	3548
3549	3549
3550	3550
3552	3552
3553	3553
3554	KING65
3560	3560
3562	3562
3563	KING319
3565	3565
3569	3569
3571	3571
3572	KING320
3580	3580
3582	3582
3586	KING180
3588	3588
3589	3589
3597	3597
3598	3598
3605	3605
3607	3607
3610	KING321
3616	KING322
3617	3617
3618	3618
3619	3619
3626	KING323
3628	3628
3630	3630
3640	3640
3646	3646
3648	KING324
3649	3649
3651	KING325
3660	KING267
3661	KING326
3663	3663
3664	KING327
3665	3665
3666	3666
3667	3667
3668	3668
3678	3678
3681	3681
3683	KING112
3684	3684
3685	3685
3688	KING184
3690	KING328
3692	KING329
3694	3694
3695	3695
3698	KING330
3701	3701
3703	3703
3704	3704
3705	3705
3706	3706
3710	3710
3711	3711
3718	KING331
3725	3725
3726	3726
