DUC,case
DUC-2Plus,96704
DUC-2,96704
DUC-2Plus,96704
DUC-2,96704
DUC-2Plus,96704
NonDUC,96704
NonDUC,96704
DUC-2,96704
NonDUC,96704
NonDUC,96704
NonDUC,96704
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,121321
NonDUC,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
DUC-3,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
DUC-2,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
DUC-1,131872
NonDUC,131872
NonDUC,131872
NonDUC,131872
DUC-3,177105
NonDUC,177105
NonDUC,177105
NonDUC,177105
DUC-2,177105
NonDUC,177105
NonDUC,177105
NonDUC,177105
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
DUC-2Plus,184839
NonDUC,184839
NonDUC,184839
NonDUC,184839
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
DUC-2,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
DUC-1Plus,94357
NonDUC,94357
NonDUC,94357
NonDUC,94357
NonDUC,94357
NonDUC,94357
NonDUC,127497
DUC-2,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
DUC-3,127497
DUC-2,127497
DUC-3,127497
NonDUC,127497
NonDUC,127497
NonDUC,127497
